,ES1 Index,NQ1 Index,Z 1 Index,VG1 Index,XU1 Index,NK1 Index,CL1 Comdty,CO1 Comdty,NG1 Comdty,XB1 Comdty,HO1 Comdty,HG1 Comdty,LA1 Comdty,LX1 Comdty,C 1 Comdty,S 1 Comdty,BO1 Comdty,LC1 Comdty,W 1 Comdty,GC1 Comdty,PL1 Comdty,FV1 Comdty,TY1 Comdty,RX1 Comdty,JB1 Comdty,PnL,Pct_PnL,CumPnL
9/19/2017,125237.5,119940,321306.3764,234517.2586,154732.5,180571.7358,-148440,-110280,-93660,0,0,0,-262968.75,77731.25,0,0,0,0,0,130670,-95120,0,0,0,0,-9570.29,-9.57E-05,0.696835229
9/20/2017,-125262.5,119570,321141.1634,-236125.1261,155480,-179468.9004,-151230,-112580,30940,0,0,0,-107862.5,78381.25,0,0,0,0,0,-131250,-94540,0,0,0,0,-1642.45,-1.64E-05,0.696823784
9/21/2017,-125050,-118905,-1011001.473,-679926.3043,-156130,-179765.2916,-151650,-112860,-29460,0,0,0,-268968.75,-232893.75,0,0,0,0,0,258120,93990,0,0,0,0,324.25,3.24E-06,0.696826043
9/22/2017,-124975,-118715,-322771.0308,-206643.7955,-155740,-180194.6602,-151980,-113720,-29590,0,0,0,-267687.5,-76100,0,0,0,0,0,129330,93210,0,0,0,0,-5479.5,-5.48E-05,0.696787861
9/25/2017,-124850,117530,-323726.4221,-208381.1614,154992.5,-181419.4934,-156660,-118040,-87570,0,0,0,-212950,-233812.5,0,0,0,0,0,-261420,-94020,0,0,0,0,11402.96,0.00011403,0.696867315
9/26/2017,124775,117850,322447.6148,-208937.5053,-455240,-179526.0157,-51880,-116880,29180,0,0,0,-105250,78200,0,0,0,0,0,259540,92470,0,0,0,0,-797.28,-7.97E-06,0.696861759
9/27/2017,125225,356460,-325704.0412,241532.567,-155252.5,180077.9865,-52140,-57900,89220,0,0,0,105500,233962.5,0,0,0,0,0,128410,-92150,0,0,0,0,6697.11,6.70E-05,0.696908429
9/28/2017,-125387.5,356310,324817.7355,-240963.8554,-167125,-181502.5814,51560,57410,30170,0,0,0,105487.5,79200,0,0,0,0,0,-128550,-230250,0,0,0,0,4336.89,4.34E-05,0.696938653
9/29/2017,-125800,119650,328235.5575,242153.3773,168070,180961.6923,-51670,-57540,-30070,0,0,0,-104050,79631.25,0,0,0,0,0,-128150,-91030,0,0,0,0,10810.33,0.000108103,0.697013994
10/2/2017,-126312.5,-119610,-389597.7704,275223.7279,436590,180987.8514,-151740,-112240,-116640,0,0,0,-260718.75,-244275,0,0,0,0,0,-254540,-273480,0,0,0,0,937.61,9.38E-06,0.697020529
10/3/2017,126637.5,119960,336601.9491,-673637.6022,-147360,-182543.1989,-50420,-56000,-57900,0,0,0,-105812.5,82212.5,0,0,0,0,0,127150,-91110,0,0,0,0,1170.43,1.17E-05,0.697028687
10/4/2017,507250,360240,1065451.389,243762.2247,160712.5,365909.8971,-149940,-111600,-117600,0,0,0,-268468.75,83337.5,0,0,0,0,0,127370,-273180,0,0,0,0,6450.62,6.45E-05,0.69707365
10/5/2017,510000,121315,1080562.543,-246059.2605,173145,182946.2861,-152370,-57000,-29230,0,0,0,-107575,83287.5,0,0,0,0,0,-253980,-91420,0,0,0,0,8814.88,8.81E-05,0.697135096
10/6/2017,509000,363855,1088072.096,244978.6871,-172865,183843.7639,-49290,-55620,-28630,0,0,0,-266781.25,81862.5,0,0,0,0,0,-254320,-91290,0,0,0,0,-24845.74,-0.000248457,0.696961888
